name,play
FALSTAFF,THE SECOND PART OF KING HENRY THE FOURTH
BEDFORD,COUNTESS OF AUVERGNE
BASTARD,COUNTESS OF AUVERGNE
SPIRIT,SIR HUMPHREY STAFFORD
WORCESTER,THE FIRST PART OF KING HENRY THE FOURTH
LADIES,TWO BRITISH CAPTAINS
FALSTAFF,THE FIRST PART OF KING HENRY THE FOURTH
FRENCH SOLDIER,THE LIFE OF KING HENRY THE FIFTH
ORLEANS,THE LIFE OF KING HENRY THE FIFTH
COUNTESS,COUNTESS OF AUVERGNE
VERNON,THE FIRST PART OF KING HENRY THE FOURTH
SECOND WARDER,COUNTESS OF AUVERGNE
WESTMORELAND,SIR JOHN SOMERVILLE
SICILIUS,TWO BRITISH CAPTAINS
HASTINGS,THE SECOND PART OF KING HENRY THE FOURTH
NORFOLK,SIR JOHN SOMERVILLE
TRAVERS,THE SECOND PART OF KING HENRY THE FOURTH
MOULDY,THE SECOND PART OF KING HENRY THE FOURTH
POINS,THE FIRST PART OF KING HENRY THE FOURTH
COURT,THE LIFE OF KING HENRY THE FIFTH
ALL,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
SCROOP,THE LIFE OF KING HENRY THE FIFTH
WATCH,COUNTESS OF AUVERGNE
FIRST CAPTAIN,TWO BRITISH CAPTAINS
POST,SIR HUMPHREY STAFFORD
KING,THE SECOND PART OF KING HENRY THE FOURTH
SUFFOLK,COUNTESS OF AUVERGNE
FIRST SAILOR,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
CHARLES,COUNTESS OF AUVERGNE
NORTHUMBERLAND,SIR JOHN SOMERVILLE
EARL OF SURREY,THE SECOND PART OF KING HENRY THE FOURTH
IDEN,SIR HUMPHREY STAFFORD
LADY PERCY,THE FIRST PART OF KING HENRY THE FOURTH
PROLOGUE,THE LIFE OF KING HENRY THE FIFTH
BEADLE,SIR HUMPHREY STAFFORD
SIR JOHN COLEVILLE,THE SECOND PART OF KING HENRY THE FOURTH
GENTLEMAN,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
OSTLER,THE FIRST PART OF KING HENRY THE FOURTH
WILLIAMS,THE LIFE OF KING HENRY THE FIFTH
SOLDIER,SIR HUMPHREY STAFFORD
MESSENGER,THE FIRST PART OF KING HENRY THE FOURTH
FIRST DRAWER,THE SECOND PART OF KING HENRY THE FOURTH
LUCIANUS,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
MESSENGER,THE LIFE OF KING HENRY THE FIFTH
YORK,THE LIFE OF KING HENRY THE FIFTH
MONTGOMERY,SIR JOHN SOMERVILLE
GURNEY,THE LIFE AND DEATH OF KING JOHN
SECRETARY,SIR ANTHONY DENNY
PEMBROKE,THE LIFE AND DEATH OF KING JOHN
CASSIUS,THE TRAGEDY OF JULIUS CAESAR
AUSTRIA,THE LIFE AND DEATH OF KING JOHN
BOTH MURDERERS,THE TRAGEDY OF MACBETH
FIRST SOLDIER,THE TRAGEDY OF JULIUS CAESAR
OLD MAN,THE TRAGEDY OF KING LEAR
BOTH,SIR ANTHONY DENNY
NATHANIEL,THE TRAGEDY OF KING LEAR
NORFOLK,SIR ANTHONY DENNY
FOOL,THE TRAGEDY OF KING LEAR
SERVANT,SIR ANTHONY DENNY
PORTER,SIR ANTHONY DENNY
CALPHURNIA,THE TRAGEDY OF JULIUS CAESAR
QUEEN ELIZABETH,SIR JOHN SOMERVILLE
RIVERS,SIR JOHN SOMERVILLE
LUCIUS,THE TRAGEDY OF JULIUS CAESAR
SECOND SOLDIER,THE TRAGEDY OF JULIUS CAESAR
SERVANT,THE TRAGEDY OF JULIUS CAESAR
LOUIS,THE LIFE AND DEATH OF KING JOHN
EDMUND,THE TRAGEDY OF KING LEAR
ONE,SIR ANTHONY DENNY
SALISBURY,THE LIFE AND DEATH OF KING JOHN
BRANDON,SIR ANTHONY DENNY
CASCA,THE TRAGEDY OF JULIUS CAESAR
CINNA,THE TRAGEDY OF JULIUS CAESAR
CAPUTIUS,SIR ANTHONY DENNY
GARTER,SIR ANTHONY DENNY
FIRST MURDERER,THE TRAGEDY OF MACBETH
SECOND MURDERER,THE TRAGEDY OF MACBETH
DARDANIUS,THE TRAGEDY OF JULIUS CAESAR
GLOUCESTER,THE TRAGEDY OF KING LEAR
KENT,THE TRAGEDY OF KING LEAR
MESSENGER,THE TRAGEDY OF MACBETH
THIRD SERVANT,THE TRAGEDY OF KING LEAR
CHANCELLOR,SIR ANTHONY DENNY
CURAN,THE TRAGEDY OF KING LEAR
EARL OF ESSEX,THE LIFE AND DEATH OF KING JOHN
CLAUDIUS,THE TRAGEDY OF JULIUS CAESAR
LENNOX,THE TRAGEDY OF MACBETH
GEORGE,SIR JOHN SOMERVILLE
GHOST,THE TRAGEDY OF JULIUS CAESAR
GONERIL,THE TRAGEDY OF KING LEAR
BUTTS,SIR ANTHONY DENNY
LADY MACBETH,THE TRAGEDY OF MACBETH
ROSS,THE TRAGEDY OF MACBETH
KING,SIR ANTHONY DENNY
BANQUO,THE TRAGEDY OF MACBETH
LADY FAULCONBRIDGE,THE LIFE AND DEATH OF KING JOHN
FORESTER,THE TRAGEDY OF KING LEAR
ARTHUR,THE LIFE AND DEATH OF KING JOHN
CRIER,SIR ANTHONY DENNY
CHATILLION,THE LIFE AND DEATH OF KING JOHN
THIRD MURDERER,THE TRAGEDY OF MACBETH
LONGAVILLE,THE TRAGEDY OF KING LEAR
FIRST GENTLEMAN,SIR ANTHONY DENNY
SECOND CITIZEN,THE TRAGEDY OF JULIUS CAESAR
PETER OF POMFRET,THE LIFE AND DEATH OF KING JOHN
THIRD SOLDIER,THE TRAGEDY OF JULIUS CAESAR
DONALBAIN,THE TRAGEDY OF MACBETH
CAPTAIN,THE TRAGEDY OF KING LEAR
MACDUFF,THE TRAGEDY OF MACBETH
METELLUS,THE TRAGEDY OF JULIUS CAESAR
MESSALA,THE TRAGEDY OF JULIUS CAESAR
CAMPEIUS,SIR ANTHONY DENNY
APPARITION,THE TRAGEDY OF MACBETH
BRUTUS,THE TRAGEDY OF JULIUS CAESAR
REGAN,THE TRAGEDY OF KING LEAR
MACBETH,THE TRAGEDY OF MACBETH
CARPENTER,THE TRAGEDY OF JULIUS CAESAR
ANTONY,THE TRAGEDY OF JULIUS CAESAR
LEPIDUS,THE TRAGEDY OF JULIUS CAESAR
ARMADO,THE TRAGEDY OF KING LEAR
FOURTH CITIZEN,THE TRAGEDY OF JULIUS CAESAR
ALL,SIR ANTHONY DENNY
HERALD,THE TRAGEDY OF KING LEAR
GARDINER,SIR ANTHONY DENNY
MARULLUS,THE TRAGEDY OF JULIUS CAESAR
MARIA,THE TRAGEDY OF KING LEAR
FRENCH HERALD,THE LIFE AND DEATH OF KING JOHN
LEAR,THE TRAGEDY OF KING LEAR
FLEANCE,THE TRAGEDY OF MACBETH
SOMERVILLE,SIR JOHN SOMERVILLE
OLD LADY,SIR ANTHONY DENNY
DUMAINE,THE TRAGEDY OF KING LEAR
CAESAR,THE TRAGEDY OF JULIUS CAESAR
CORNWALL,THE TRAGEDY OF KING LEAR
KATHARINE,THE TRAGEDY OF KING LEAR
OXFORD,SIR JOHN SOMERVILLE
SCRIBE,SIR ANTHONY DENNY
POET,THE TRAGEDY OF JULIUS CAESAR
PHYSICIAN,THE TRAGEDY OF KING LEAR
MOTH,THE TRAGEDY OF KING LEAR
CLITUS,THE TRAGEDY OF JULIUS CAESAR
HECATE,THE TRAGEDY OF MACBETH
LOVELL,SIR ANTHONY DENNY
BURGUNDY,THE TRAGEDY OF KING LEAR
MESSENGER,THE TRAGEDY OF KING LEAR
SANDYS,SIR ANTHONY DENNY
MESSENGER,THE LIFE AND DEATH OF KING JOHN
PATIENCE,SIR ANTHONY DENNY
ABERGAVENNY,SIR ANTHONY DENNY
POPILIUS,THE TRAGEDY OF JULIUS CAESAR
MESSENGER,THE TRAGEDY OF JULIUS CAESAR
TITINIUS,THE TRAGEDY OF JULIUS CAESAR
KING,THE TRAGEDY OF KING LEAR
PORTIA,THE TRAGEDY OF JULIUS CAESAR
FIRST CITIZEN,THE LIFE AND DEATH OF KING JOHN
SON,SIR JOHN SOMERVILLE
EDGAR,THE TRAGEDY OF KING LEAR
HASTINGS,SIR JOHN SOMERVILLE
OCTAVIUS,THE TRAGEDY OF JULIUS CAESAR
LINCOLN,SIR ANTHONY DENNY
ROBERT,THE LIFE AND DEATH OF KING JOHN
PAGE,SIR ANTHONY DENNY
KING JOHN,THE LIFE AND DEATH OF KING JOHN
MESSENGER,SIR JOHN SOMERVILLE
THIRD GENTLEMAN,SIR ANTHONY DENNY
QUEEN ELEANOR,THE LIFE AND DEATH OF KING JOHN
LADY MACDUFF,THE TRAGEDY OF MACBETH
SECOND WITCH,THE TRAGEDY OF MACBETH
QUEEN MARGARET,SIR JOHN SOMERVILLE
CONSTANCE,THE LIFE AND DEATH OF KING JOHN
KEEPER,SIR ANTHONY DENNY
LIGARIUS,THE TRAGEDY OF JULIUS CAESAR
EARL OF SALISBURY,THE LIFE AND DEATH OF KING JOHN
DECIUS,THE TRAGEDY OF JULIUS CAESAR
MALCOLM,THE TRAGEDY OF MACBETH
KING LEWIS,SIR JOHN SOMERVILLE
TREBONIUS,THE TRAGEDY OF JULIUS CAESAR
JAQUENETTA,THE TRAGEDY OF KING LEAR
SPRING,THE TRAGEDY OF KING LEAR
ARTEMIDORUS,THE TRAGEDY OF JULIUS CAESAR
STRATO,THE TRAGEDY OF JULIUS CAESAR
GENTLEMAN,SIR ANTHONY DENNY
HOLOFERNES,THE TRAGEDY OF KING LEAR
KING EDWARD,SIR JOHN SOMERVILLE
VAUX,SIR ANTHONY DENNY
COBBLER,THE TRAGEDY OF JULIUS CAESAR
SERVANT,THE TRAGEDY OF MACBETH
LORD,THE TRAGEDY OF KING LEAR
DUNCAN,THE TRAGEDY OF MACBETH
CRANMER,SIR ANTHONY DENNY
PUBLIUS,THE TRAGEDY OF JULIUS CAESAR
PORTER,THE TRAGEDY OF MACBETH
RUTLAND,SIR JOHN SOMERVILLE
DENNY,SIR ANTHONY DENNY
SERGEANT,SIR ANTHONY DENNY
ALBANY,THE TRAGEDY OF KING LEAR
ANNE,SIR ANTHONY DENNY
THIRD CITIZEN,THE TRAGEDY OF JULIUS CAESAR
FATHER,SIR JOHN SOMERVILLE
ANGUS,THE TRAGEDY OF MACBETH
MURDERER,THE TRAGEDY OF MACBETH
LADY GREY,SIR JOHN SOMERVILLE
LIEUTENANT,SIR JOHN SOMERVILLE
THIRD WITCH,THE TRAGEDY OF MACBETH
SOLDIER,THE TRAGEDY OF MACBETH
BLANCHE,THE LIFE AND DEATH OF KING JOHN
TUTOR,SIR JOHN SOMERVILLE
KNIGHT,THE TRAGEDY OF KING LEAR
FRANCE,THE TRAGEDY OF KING LEAR
BIGOT,THE LIFE AND DEATH OF KING JOHN
BEROWNE,THE TRAGEDY OF KING LEAR
COSTARD,THE TRAGEDY OF KING LEAR
LORD,THE TRAGEDY OF MACBETH
WOLSEY,SIR ANTHONY DENNY
EPILOGUE,SIR ANTHONY DENNY
CATO,THE TRAGEDY OF JULIUS CAESAR
SOOTHSAYER,THE TRAGEDY OF JULIUS CAESAR
LORDS,THE TRAGEDY OF MACBETH
ALL,SIR JOHN SOMERVILLE
ESSEX,THE LIFE AND DEATH OF KING JOHN
MELUN,THE LIFE AND DEATH OF KING JOHN
GENTLEMAN USHER,SIR ANTHONY DENNY
SOMERSET,SIR JOHN SOMERVILLE
THE PROLOGUE,SIR ANTHONY DENNY
OFFICER,THE TRAGEDY OF KING LEAR
GUILDFORD,SIR ANTHONY DENNY
FIRST SERVANT,THE TRAGEDY OF KING LEAR
CICERO,THE TRAGEDY OF JULIUS CAESAR
MAYOR,SIR JOHN SOMERVILLE
SECOND GENTLEMAN,SIR ANTHONY DENNY
NOBLEMAN,SIR JOHN SOMERVILLE
MESSENGER,SIR ANTHONY DENNY
DULL,THE TRAGEDY OF KING LEAR
QUEEN KATHERINE,SIR ANTHONY DENNY
POST,SIR JOHN SOMERVILLE
ENGLISH HERALD,THE LIFE AND DEATH OF KING JOHN
BASTARD,THE LIFE AND DEATH OF KING JOHN
OSWALD,THE TRAGEDY OF KING LEAR
CHAMBERLAIN,SIR ANTHONY DENNY
LUCILIUS,THE TRAGEDY OF JULIUS CAESAR
CITIZEN,THE LIFE AND DEATH OF KING JOHN
CORDELIA,THE TRAGEDY OF KING LEAR
ROSALINE,THE TRAGEDY OF KING LEAR
GRIFFITH,SIR ANTHONY DENNY
FIRST WITCH,THE TRAGEDY OF MACBETH
BUCKINGHAM,SIR ANTHONY DENNY
HUNTSMAN,SIR JOHN SOMERVILLE
OLD MAN,THE TRAGEDY OF MACBETH
PANDULPH,THE LIFE AND DEATH OF KING JOHN
FLAVIUS,THE TRAGEDY OF JULIUS CAESAR
SIR JOHN,SIR JOHN SOMERVILLE
EARL OF PEMBROKE,THE LIFE AND DEATH OF KING JOHN
WINTER,THE TRAGEDY OF KING LEAR
PINDARUS,THE TRAGEDY OF JULIUS CAESAR
PRINCE EDWARD,SIR JOHN SOMERVILLE
GENTLEMAN,THE TRAGEDY OF KING LEAR
FIRST CITIZEN,THE TRAGEDY OF JULIUS CAESAR
BOYET,THE TRAGEDY OF KING LEAR
VARRO,THE TRAGEDY OF JULIUS CAESAR
SECOND SERVANT,THE TRAGEDY OF KING LEAR
SUFFOLK,SIR ANTHONY DENNY
HUBERT,THE LIFE AND DEATH OF KING JOHN
SURVEYOR,SIR ANTHONY DENNY
KING PHILIP,THE LIFE AND DEATH OF KING JOHN
FIRST EXECUTIONER,THE LIFE AND DEATH OF KING JOHN
PRINCESS,THE TRAGEDY OF KING LEAR
SURREY,SIR ANTHONY DENNY
SOLDIER,SIR JOHN SOMERVILLE
CROMWELL,SIR ANTHONY DENNY
PRINCE HENRY,THE LIFE AND DEATH OF KING JOHN
VOLUMNIUS,THE TRAGEDY OF JULIUS CAESAR
BONA,SIR JOHN SOMERVILLE
CITIZENS,THE TRAGEDY OF JULIUS CAESAR
ALL,THE TRAGEDY OF MACBETH
FRIAR THOMAS,MEASURE FOR MEASURE
FLUTE,SIR JOHN FALSTAFF
DUKE,MEASURE FOR MEASURE
SOLANIO,THE DUKE OF VENICE
FRIAR,MUCH ADO ABOUT NOTHING
BOY,MUCH ADO ABOUT NOTHING
FENTON,SIR JOHN FALSTAFF
BRABANTIO,DUKE OF VENICE
SALERIO,THE DUKE OF VENICE
SONG,SIR JOHN FALSTAFF
HERALD,DUKE OF VENICE
CHORUS,SIR JOHN FALSTAFF
CONRADE,MUCH ADO ABOUT NOTHING
BENEDICK,MUCH ADO ABOUT NOTHING
LORENZO,THE DUKE OF VENICE
BOTTOM,SIR JOHN FALSTAFF
DUKE OF VENICE,THE DUKE OF VENICE
PYRAMUS,SIR JOHN FALSTAFF
PORTIA,THE DUKE OF VENICE
CAITHNESS,THE TRAGEDY OF MACBETH
MESSENGER,THE DUKE OF VENICE
SERVANT,THE DUKE OF VENICE
YOUNG SIWARD,THE TRAGEDY OF MACBETH
MISTRESS QUICKLY,SIR JOHN FALSTAFF
PHILOSTRATE,SIR JOHN FALSTAFF
ANNE,SIR JOHN FALSTAFF
SERVINGMAN,THE DUKE OF VENICE
SIMPLE,SIR JOHN FALSTAFF
DOGBERRY,MUCH ADO ABOUT NOTHING
SIWARD,THE TRAGEDY OF MACBETH
POMPEY,MEASURE FOR MEASURE
BAWD,MEASURE FOR MEASURE
LODOVICO,DUKE OF VENICE
PUCK,SIR JOHN FALSTAFF
JULIET,MEASURE FOR MEASURE
SECOND WATCH,MUCH ADO ABOUT NOTHING
SON,THE TRAGEDY OF MACBETH
PISTOL,SIR JOHN FALSTAFF
PROVOST,MEASURE FOR MEASURE
DON JOHN,MUCH ADO ABOUT NOTHING
ISABELLA,MEASURE FOR MEASURE
ARRAGON,THE DUKE OF VENICE
PEASEBLOSSOM,SIR JOHN FALSTAFF
ELBOW,MEASURE FOR MEASURE
TITANIA,SIR JOHN FALSTAFF
PAGE,SIR JOHN FALSTAFF
LUCIO,MEASURE FOR MEASURE
ALL,SIR JOHN FALSTAFF
JOHN,SIR JOHN FALSTAFF
URSULA,MUCH ADO ABOUT NOTHING
FIRST GENTLEMAN,MEASURE FOR MEASURE
MUSTARDSEED,SIR JOHN FALSTAFF
SECOND GENTLEMAN,MEASURE FOR MEASURE
EGEUS,SIR JOHN FALSTAFF
DON PEDRO,MUCH ADO ABOUT NOTHING
BORACHIO,MUCH ADO ABOUT NOTHING
QUINCE,SIR JOHN FALSTAFF
A LORD,MUCH ADO ABOUT NOTHING
NERISSA,THE DUKE OF VENICE
STARVELING,SIR JOHN FALSTAFF
BALTHASAR,MUCH ADO ABOUT NOTHING
FIRST FAIRY,SIR JOHN FALSTAFF
ANTONIO,MUCH ADO ABOUT NOTHING
FIRST GENTLEMAN,DUKE OF VENICE
WATCH,MUCH ADO ABOUT NOTHING
ESCALUS,MEASURE FOR MEASURE
MARIANA,MEASURE FOR MEASURE
SECOND FAIRY,SIR JOHN FALSTAFF
FRIAR PETER,MEASURE FOR MEASURE
RODERIGO,DUKE OF VENICE
SOLDIERS,THE TRAGEDY OF MACBETH
SHALLOW,SIR JOHN FALSTAFF
MISTRESS PAGE,SIR JOHN FALSTAFF
MENTEITH,THE TRAGEDY OF MACBETH
BARNARDINE,MEASURE FOR MEASURE
BEATRICE,MUCH ADO ABOUT NOTHING
FALSTAFF,SIR JOHN FALSTAFF
FORD,SIR JOHN FALSTAFF
OBERON,SIR JOHN FALSTAFF
THIRD GENTLEMAN,DUKE OF VENICE
LION,SIR JOHN FALSTAFF
EMILIA,DUKE OF VENICE
FIRST MUSICIAN,DUKE OF VENICE
NYM,SIR JOHN FALSTAFF
FRIAR FRANCIS,MUCH ADO ABOUT NOTHING
CLOWN,DUKE OF VENICE
IAGO,DUKE OF VENICE
LEONARDO,THE DUKE OF VENICE
BIANCA,DUKE OF VENICE
DESDEMONA,DUKE OF VENICE
GRATIANO,DUKE OF VENICE
HIPPOLYTA,SIR JOHN FALSTAFF
DEMETRIUS,SIR JOHN FALSTAFF
HERO,MUCH ADO ABOUT NOTHING
JUSTICE,MEASURE FOR MEASURE
GRATIANO,THE DUKE OF VENICE
VERGES,MUCH ADO ABOUT NOTHING
LYSANDER,SIR JOHN FALSTAFF
GOBBO,THE DUKE OF VENICE
SHYLOCK,THE DUKE OF VENICE
WILLIAM,SIR JOHN FALSTAFF
ALL,THE DUKE OF VENICE
MESSENGER,MUCH ADO ABOUT NOTHING
HERMIA,SIR JOHN FALSTAFF
EVANS,SIR JOHN FALSTAFF
ABHORSON,MEASURE FOR MEASURE
ROBERT,SIR JOHN FALSTAFF
BOTH,MUCH ADO ABOUT NOTHING
CLAUDIO,MEASURE FOR MEASURE
ROBIN,SIR JOHN FALSTAFF
OFFICER,DUKE OF VENICE
RUGBY,SIR JOHN FALSTAFF
FIRST WATCH,MUCH ADO ABOUT NOTHING
CLAUDIO,MUCH ADO ABOUT NOTHING
FRANCISCA,MEASURE FOR MEASURE
ANTONIO,THE DUKE OF VENICE
MISTRESS FORD,SIR JOHN FALSTAFF
SAILOR,DUKE OF VENICE
DUKE,THE DUKE OF VENICE
SALARINO,THE DUKE OF VENICE
JESSICA,THE DUKE OF VENICE
DUKE,DUKE OF VENICE
THESEUS,SIR JOHN FALSTAFF
FROTH,MEASURE FOR MEASURE
WALL,SIR JOHN FALSTAFF
ALL,DUKE OF VENICE
CAIUS,SIR JOHN FALSTAFF
MOON,SIR JOHN FALSTAFF
LEONATO,MUCH ADO ABOUT NOTHING
GENTLEWOMAN,THE TRAGEDY OF MACBETH
MARGARET,MUCH ADO ABOUT NOTHING
CASSIO,DUKE OF VENICE
BARDOLPH,SIR JOHN FALSTAFF
MOONSHINE,SIR JOHN FALSTAFF
LAUNCELET,THE DUKE OF VENICE
SECOND GENTLEMAN,DUKE OF VENICE
MESSENGER,MEASURE FOR MEASURE
SERVANT,MEASURE FOR MEASURE
ANGELO,MEASURE FOR MEASURE
SLENDER,SIR JOHN FALSTAFF
COBWEB,SIR JOHN FALSTAFF
MESSENGER,DUKE OF VENICE
SEXTON,MUCH ADO ABOUT NOTHING
BALTHAZAR,THE DUKE OF VENICE
MOTH,SIR JOHN FALSTAFF
OTHELLO,DUKE OF VENICE
HELENA,SIR JOHN FALSTAFF
HOST,SIR JOHN FALSTAFF
TUBAL,THE DUKE OF VENICE
THISBE,SIR JOHN FALSTAFF
BASSANIO,THE DUKE OF VENICE
GENTLEMEN,DUKE OF VENICE
STEPHANO,THE DUKE OF VENICE
SEYTON,THE TRAGEDY OF MACBETH
PRINCE OF MOROCCO,THE DUKE OF VENICE
DOCTOR,THE TRAGEDY OF MACBETH
FIRST SENATOR,DUKE OF VENICE
MONTANO,DUKE OF VENICE
SECOND MUSICIAN,THE TRAGEDY OF ROMEO AND JULIET
SCRIVENER,SHERIFF OF WILTSHIRE
FRIAR LAWRENCE,THE TRAGEDY OF ROMEO AND JULIET
SECOND HERALD,DUCHESS OF YORK
LADY,DUCHESS OF YORK
TIMANDRA,THE LIFE OF TIMON OF ATHENS
FIRST SERVANT,THE TAMING OF THE SHREW
I,THE TAMING OF THE SHREW
ALL,"PERICLES, PRINCE OF TYRE"
BAWD,"PERICLES, PRINCE OF TYRE"
SERVANT,THE TAMING OF THE SHREW
ALL THREE,SHERIFF OF WILTSHIRE
SAMPSON,THE TRAGEDY OF ROMEO AND JULIET
CAPULET,THE TRAGEDY OF ROMEO AND JULIET
HORTENSIO,THE TAMING OF THE SHREW
ABRAM,THE TRAGEDY OF ROMEO AND JULIET
TYBALT,THE TRAGEDY OF ROMEO AND JULIET
HOSTESS,THE TAMING OF THE SHREW
PAGE,THE LIFE OF TIMON OF ATHENS
SERVANT,"PERICLES, PRINCE OF TYRE"
ELY,SHERIFF OF WILTSHIRE
FIRST CITIZEN,THE TRAGEDY OF ROMEO AND JULIET
SECOND STRANGER,THE LIFE OF TIMON OF ATHENS
PLAYER,THE TAMING OF THE SHREW
HELICANUS,"PERICLES, PRINCE OF TYRE"
FLAVIUS,THE LIFE OF TIMON OF ATHENS
FIRST LORD,"PERICLES, PRINCE OF TYRE"
TYRREL,SHERIFF OF WILTSHIRE
BALTHASAR,THE TRAGEDY OF ROMEO AND JULIET
MESSENGER,THE TAMING OF THE SHREW
TYRIAN SAILOR,"PERICLES, PRINCE OF TYRE"
APOTHECARY,THE TRAGEDY OF ROMEO AND JULIET
RICHMOND,SHERIFF OF WILTSHIRE
BENVOLIO,THE TRAGEDY OF ROMEO AND JULIET
BIONDELLO,THE TAMING OF THE SHREW
BERKELEY,DUCHESS OF YORK
THIRD FISHERMAN,"PERICLES, PRINCE OF TYRE"
FIRST SERVANT,"PERICLES, PRINCE OF TYRE"
FOURTH MESSENGER,SHERIFF OF WILTSHIRE
MERCHANT,THE LIFE OF TIMON OF ATHENS
SHERIFF,SHERIFF OF WILTSHIRE
DIANA,"PERICLES, PRINCE OF TYRE"
ROSS,DUCHESS OF YORK
JULIET,THE TRAGEDY OF ROMEO AND JULIET
PERICLES,"PERICLES, PRINCE OF TYRE"
GARDENER,DUCHESS OF YORK
FLAMINIUS,THE LIFE OF TIMON OF ATHENS
FIRST SENATOR,THE LIFE OF TIMON OF ATHENS
PHRYNIA,THE LIFE OF TIMON OF ATHENS
LOVELL,SHERIFF OF WILTSHIRE
SECOND FRIEND,THE LIFE OF TIMON OF ATHENS
TRANIO,THE TAMING OF THE SHREW
SERVANTS,THE LIFE OF TIMON OF ATHENS
KING EDWARD,SHERIFF OF WILTSHIRE
OXFORD,SHERIFF OF WILTSHIRE
GHOST OF EDWARD,SHERIFF OF WILTSHIRE
WILLOUGHBY,DUCHESS OF YORK
LORD,THE TAMING OF THE SHREW
MESSENGER,THE LIFE OF TIMON OF ATHENS
PETER,THE TAMING OF THE SHREW
SALISBURY,DUCHESS OF YORK
FOOL,THE LIFE OF TIMON OF ATHENS
MAYOR,SHERIFF OF WILTSHIRE
QUEEN,DUCHESS OF YORK
FERDINAND,MASTER OF A SHIP
KING RICHARD,DUCHESS OF YORK
HABERDASHER,THE TAMING OF THE SHREW
MIRANDA,MASTER OF A SHIP
HELCANUS,"PERICLES, PRINCE OF TYRE"
THAISA,"PERICLES, PRINCE OF TYRE"
GHOST OF CLARENCE,SHERIFF OF WILTSHIRE
SECOND HUNTSMAN,THE TAMING OF THE SHREW
BAGOT,DUCHESS OF YORK
CHILDREN,SHERIFF OF WILTSHIRE
FIRST AND SECOND FRIENDS,THE LIFE OF TIMON OF ATHENS
ANOTHER LORD,DUCHESS OF YORK
SERVANT,THE TRAGEDY OF ROMEO AND JULIET
DUCHESS,SHERIFF OF WILTSHIRE
GRUMIO,THE TAMING OF THE SHREW
VINCENTIO,THE TAMING OF THE SHREW
DAUGHTER,"PERICLES, PRINCE OF TYRE"
KNIGHTS,"PERICLES, PRINCE OF TYRE"
FIRST GENTLEMAN,"PERICLES, PRINCE OF TYRE"
CAPTAIN,DUCHESS OF YORK
THIRD MESSENGER,SHERIFF OF WILTSHIRE
MARSHALL,"PERICLES, PRINCE OF TYRE"
CLARENCE,SHERIFF OF WILTSHIRE
KEEPER,SHERIFF OF WILTSHIRE
DIONYZA,"PERICLES, PRINCE OF TYRE"
THIRD MUSICIAN,THE TRAGEDY OF ROMEO AND JULIET
SURREY,DUCHESS OF YORK
KING RICHARD,SHERIFF OF WILTSHIRE
FIRST SERVANT,THE TRAGEDY OF ROMEO AND JULIET
PANDAR,"PERICLES, PRINCE OF TYRE"
ALL SERVANTS,THE LIFE OF TIMON OF ATHENS
SEMPRONIUS,THE LIFE OF TIMON OF ATHENS
TITUS,THE LIFE OF TIMON OF ATHENS
SOME OTHER,THE LIFE OF TIMON OF ATHENS
GREY,SHERIFF OF WILTSHIRE
CATESBY,SHERIFF OF WILTSHIRE
ADRIAN,MASTER OF A SHIP
LORD,"PERICLES, PRINCE OF TYRE"
FIRST SERVANT,THE LIFE OF TIMON OF ATHENS
PHILEMON,"PERICLES, PRINCE OF TYRE"
ALL SERVANTS,THE TAMING OF THE SHREW
SECOND KNIGHT,"PERICLES, PRINCE OF TYRE"
STANLEY,SHERIFF OF WILTSHIRE
THALIARD,"PERICLES, PRINCE OF TYRE"
GHOSTS OF PRINCES,SHERIFF OF WILTSHIRE
MONTAGUE,THE TRAGEDY OF ROMEO AND JULIET
SEBASTIAN,MASTER OF A SHIP
FIRST HERALD,DUCHESS OF YORK
BOTH MURDERERS,SHERIFF OF WILTSHIRE
FIRST STRANGER,THE LIFE OF TIMON OF ATHENS
CHRISTOPHER,SHERIFF OF WILTSHIRE
HERBERT,SHERIFF OF WILTSHIRE
HORTENSIUS,THE LIFE OF TIMON OF ATHENS
GONZALO,MASTER OF A SHIP
MARINERS,MASTER OF A SHIP
ALCIBIADES,THE LIFE OF TIMON OF ATHENS
APEMANTUS,THE LIFE OF TIMON OF ATHENS
GIRL,SHERIFF OF WILTSHIRE
SECOND MESSENGER,SHERIFF OF WILTSHIRE
FIRST KNIGHT,"PERICLES, PRINCE OF TYRE"
THIRD PIRATE,"PERICLES, PRINCE OF TYRE"
ALL,DUCHESS OF YORK
FIRST MUSICIAN,THE TRAGEDY OF ROMEO AND JULIET
BOATSWAIN,MASTER OF A SHIP
CLEON,"PERICLES, PRINCE OF TYRE"
PURSUIVANT,SHERIFF OF WILTSHIRE
RATCLIFFE,SHERIFF OF WILTSHIRE
ANNE,SHERIFF OF WILTSHIRE
SECOND GENTLEMAN,"PERICLES, PRINCE OF TYRE"
BAPTISTA,THE TAMING OF THE SHREW
SURREY,SHERIFF OF WILTSHIRE
JOSEPH,THE TAMING OF THE SHREW
NICHOLAS,THE TAMING OF THE SHREW
